title         = ASCII CSV version of worksheet 4, "Oil: Production" from the 2016 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2016/BP_2016_oil_production_bbl.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2016/bp-statistical-review-of-world-energy-2016-workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = thousand barrels daily

"YEAR","AE","AO","AR","AU","AZ","BN","BP_EU2","BP_FSU","BP_NONOECD","BP_NONOPEC","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OPEC","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CG","CN","CO","DK","DZ","EC","EG","GA","GB","GQ","ID","IN","IQ","IR","IT","KW","KZ","LY","MX","MY","NG","NO","OM","PE","QA","RO","RU","SA","SD","SS","SY","TD","TH","TM","TN","TT","US","UZ","VE","VN","YE"
1965,282.0,13.297,275.674,7.0,"na",80.0,698.837,4857.76,20983.408,17876.916,2.139,35.114,10815.182,470.472,60.996,13921.674,47.135,2239.535,898.588,5643.514,8386.996,10296.148,4333.808,31798.59,96.0,920.0,1.377,227.13,203.0,"na",577.377,8.0,126.01,25.335,1.74,"na",486.0,62.344,1313.0,1908.0,47.766,2371.0,"na",1220.0,362.0,1.0,274.0,"na","na",66.0,233.0,265.776,"na",2219.0,"na","na","na","na","na","na","na",135.0,9014.148,"na",3503.0,"na","na"
1966,360.0,12.81,292.864,9.0,"na",96.0,697.255,5302.0,23085.047,19182.076,2.139,34.085,11478.426,486.678,65.761,15381.396,54.411,2847.673,1002.15,6100.373,9360.761,10961.241,4291.275,34563.472,117.0,1012.0,1.203,292.196,199.0,"na",738.586,7.0,121.712,28.98,1.616,"na",474.0,95.868,1392.0,2132.0,39.077,2505.0,"na",1508.0,370.0,1.0,418.0,"na","na",66.0,291.0,271.002,"na",2615.0,"na","na","na","na","na","na",16.244,153.0,9579.241,"na",3402.0,"na","na"
1967,382.0,10.902,318.631,21.0,"na",104.0,704.556,5762.0,24839.919,20731.845,2.056,31.085,12272.863,506.992,72.978,16380.937,78.214,3142.733,1062.737,6586.236,10013.978,11736.252,4570.845,37112.782,147.0,1106.0,0.97,278.741,192.0,"na",852.035,6.0,108.562,68.994,1.843,"na",510.0,116.911,1228.0,2603.0,36.56,2522.0,"na",1733.0,411.0,1.0,319.0,"na",57.0,74.0,324.0,278.841,"na",2825.0,"na","na","na","na","na","na",47.214,179.0,10219.252,"na",3576.0,"na","na"
1968,498.0,15.184,348.158,39.0,"na",122.0,702.268,6167.104,27634.535,22179.769,1.843,35.114,12795.332,517.638,77.969,18250.098,84.571,4016.897,1239.769,7000.76,11257.969,12232.743,4681.73,40429.867,161.0,1194.0,0.832,320.237,176.0,"na",932.914,5.0,166.384,92.693,1.735,"na",599.0,120.418,1503.0,2840.0,34.583,2656.0,"na",2599.0,439.0,4.0,141.0,"na",241.0,77.0,340.0,279.7,"na",3081.0,"na","na",21.0,"na","na","na",67.046,191.0,10599.743,"na",3639.0,"na","na"
1969,599.0,49.901,361.532,45.0,"na",124.0,698.215,6566.0,30457.106,23384.079,1.204,36.427,13169.78,530.045,77.959,20242.807,83.805,5094.419,1431.711,7412.787,12390.959,12594.674,4702.337,43626.886,176.0,1306.0,0.466,436.587,214.0,"na",976.906,4.0,239.163,100.678,1.792,"na",642.0,138.696,1521.0,3376.0,33.861,2819.0,"na",3108.0,461.0,9.0,540.0,"na",327.0,75.0,356.0,281.089,"na",3262.0,"na","na",53.0,"na","na","na",78.101,157.0,10827.674,"na",3631.0,"na","na"
1970,762.0,102.826,399.465,176.0,"na",136.0,693.511,7126.746,34104.098,25293.927,0.914,39.505,13951.947,528.237,78.548,22762.118,63.947,6111.896,1979.495,7974.186,13904.207,13256.849,4829.411,48056.045,167.0,1473.0,0.369,615.519,226.0,"na",1051.632,4.0,319.092,108.609,3.519,"na",854.0,140.471,1549.0,3847.66,31.899,3036.0,"na",3357.0,487.0,18.0,1084.0,"na",332.0,75.0,363.0,283.784,"na",3851.0,"na","na",85.0,"na","na","na",87.455,140.0,11296.849,"na",3754.0,"na","na"
1971,1106.0,116.144,431.538,315.0,"na",129.0,676.692,7610.459,36793.729,26136.778,0.478,42.418,14044.757,509.312,76.215,24701.709,80.385,5700.512,2387.084,8451.553,16352.636,13223.778,4722.923,50838.486,175.0,1582.0,0.272,791.439,224.0,"na",809.143,4.0,290.847,116.059,4.9,"na",892.0,148.228,1694.0,4572.422,28.538,3253.0,"na",2750.0,486.0,69.0,1531.0,6.0,294.0,64.0,430.0,292.344,"na",4821.0,"na","na",106.0,"na","na","na",86.57,129.0,11155.778,"na",3615.0,"na","na"
1972,1300.0,142.875,444.116,337.0,"na",182.0,668.441,8064.128,39284.421,27268.539,0.58,44.3,14377.059,504.369,70.918,26392.942,89.237,5722.468,2803.638,8935.25,18185.876,13519.896,4494.353,53661.48,171.0,1829.0,6.5,914.648,203.0,2.0,1089.109,78.0,207.956,125.888,7.862,"na",1081.0,151.69,1466.0,5058.957,25.472,3339.0,"na",2248.0,506.0,93.0,1818.0,33.0,282.0,67.0,482.0,298.419,"na",6070.0,"na","na",117.0,"na","na","na",83.56,141.0,11184.896,"na",3301.0,"na","na"
1973,1456.0,165.964,433.636,424.0,"na",231.0,673.943,8664.422,43929.295,28527.127,0.872,47.056,14530.277,509.143,68.744,29932.446,89.739,5984.287,3356.158,9544.679,21197.12,13584.953,4792.375,58459.572,174.0,2114.0,40.56,1076.606,192.0,3.0,1111.106,209.0,164.934,152.148,8.825,"na",1338.0,148.496,2018.0,5907.376,23.356,3080.0,"na",2211.0,525.0,91.0,2056.0,32.0,293.0,73.0,570.0,303.933,"na",7693.0,"na","na",111.0,"na","na","na",81.704,166.0,10945.953,"na",3455.0,"na","na"
1974,1631.0,173.394,423.387,420.0,"na",198.0,686.488,9270.405,44558.272,28946.319,0.519,47.335,14055.341,509.974,67.764,29667.294,85.596,5507.592,3578.185,10158.544,21894.104,13107.205,4367.984,58613.614,181.0,1993.0,47.62,1302.33,175.0,2.0,1035.561,177.0,144.976,204.32,9.762,"na",1375.0,154.52,1977.038,6060.301,23.375,2603.0,"na",1558.0,653.0,81.0,2256.0,35.0,290.0,79.0,518.0,308.027,"na",8618.0,"na","na",129.0,"na","na","na",87.202,187.0,10461.205,"na",3060.0,"na","na"
